ID,GamePSID,GameName,Publisher
1,3045,Q*Bert Rebooted,LOOT Interactive
2,3051,Q*Bert Rebooted (EU),LOOT Interactive
3,6703,Q.U.B.E. 2,Trapped Nerve Games
4,3403,Q.U.B.E. Director's Cut,GRIP Digital
5,13176,Quake (PS4),Bethesda Softworks
6,-2913,Quantic Pinball,
7,-4119,Quantum Error,
8,-4106,Quantum League,
9,12156,Quantum Replica,PQube
10,12157,Quantum Replica (EU),PQube
11,10196,Quar: Infernal Machines,Hoplite Research
12,8045,Quar: Infernal Machines (EU),Hoplite Research
13,9192,Qubit's Quest,Performance Designed Products
14,-5531,QUByte Classics - Brave Battle Saga: The Legend of the Magic Warrior,
15,-5530,QUByte Classics - Canon: Legends of the New Gods,
16,-5529,QUByte Classics - The Humans,
17,13861,QUByte Classics - The Immortal by PIKO,QUByte Interactive
18,8145,Queen's Quest 2: Stories of Forgotten Past,Artifex Mundi
19,8557,Queen's Quest 3: The End of Dawn,Artifex Mundi
20,9103,Queen's Quest 4: Sacred Truce,Artifex Mundi
21,10741,Quest Hunter,2 Zombie Games
22,5029,Quest of Dungeons,Upfall Studios
23,14140,Quick Mafs (EU) (PS4),Webnetics
24,14142,Quick Mafs (PS4),Webnetics
25,3351,Quiplash,Jackbox Games
26,11332,Quiplash 2 Interlashional: The Say Anything Party Game!,Jackbox Games
27,5434,Quiz Night Tonight!,Mardonpol
28,4408,Qurare: Magic Library,Smilegate Megaport
29,3956,Qurare: Magic Library (Asia),Smilegate Megaport
30,13113,Q-YO Blaster,Forever Entertainment
31,13114,Q-YO Blaster (EU),Forever Entertainment
32,4692,Waddle Home,Archiact
33,7376,Wailing Heights,Outsider Games
34,7108,Waking Violet,MixedBag Games
35,6975,"Walden, a game",USC Games Publishing
36,13639,Wallachia: Reign of Dracula,Storybird Studio
37,13638,Wallachia: Reign of Dracula (EU),"Storybird Studio, PixelHeart"
38,8905,Waltz of the Wizard: Extended Edition,Aldin Dynamics
39,4624,Wand Wars,Moonradish
40,3308,Wander,Wander MMO
41,3303,Wander (EU),Wander MMO
42,5004,Wanderjahr,Corecell Technology
43,8025,Wandersong,Humble Games
44,8026,Wandersong (EU),Humble Games
45,9130,Wands,Cortopia Studios
46,9129,Wands (EU),Cortopia Studios
47,-4834,War Mongrels (PS4),
48,3818,War of the Monsters,Sony Computer Entertainment
49,8440,War Tech Fighters,Blowfish Studios
50,8201,War Theatre,Arcade Distillery
51,8867,War Theatre (Asia),eastasiasoft
52,9894,War Theatre (EU),Arcade Distillery
53,9630,War Theatre: Blood of Winter (PS4),Arcade Distillery
54,6937,War Thunder (JP) (PS4),EXNOA
55,3743,War Thunder (PS4),Gaijin Entertainment
56,10236,Warborn,PQube
57,7883,Warbot,Shanghai Lusion Computer Software
58,12237,WarDogs: Red's Return,QUByte Interactive
59,7400,Warface,MY.GAMES
60,10169,Warface: Breakout,MY.GAMES
61,10170,Warface: Breakout (EU),MY.GAMES
62,3805,Warframe (CN) (PS4),Perfect World Games
63,2230,Warframe (PS4),Digital Extremes
64,8777,Wargroove,Chucklefish
65,-4917,"Warhammer 40,000: Battlesector",
66,5193,"Warhammer 40,000: Deathwatch",Hoplite Research
67,5221,"Warhammer 40,000: Deathwatch (EU)",Funbox Media
68,6962,"Warhammer 40,000: Inquisitor – Martyr",Nacon
69,10024,"Warhammer 40,000: Mechanicus",Kasedo Games
70,10215,"Warhammer 40,000: Mechanicus (EU)","Kasedo Games, Kalypso Media"
71,-4923,"Warhammer 40,000: Shottas, Blood & Teef (PS4)",
72,8280,"Warhammer 40,000: Space Wolf",HeroCraft
73,8281,"Warhammer 40,000: Space Wolf (EU)",HeroCraft
74,12413,Warhammer Age of Sigmar: Storm Ground,Focus Entertainment
75,-4382,Warhammer Age of Sigmar: Stormground,
76,5079,Warhammer Quest,Chilled Mouse
77,9420,Warhammer Quest 2: The End Times,Chilled Mouse
78,9449,Warhammer Quest 2: The End Times (EU),Chilled Mouse
79,8503,Warhammer: Chaosbane (PS4),Nacon
80,4629,Warhammer: End Times - Vermintide,Fatshark
81,7919,Warhammer: Vermintide 2,Fatshark
82,4107,Warhedz,Atom Republic
83,-3345,Warlocks 2: God Slayers,
84,8507,Warlock's Tower,Ratalaika Games
85,8509,Warlock's Tower (Asia),eastasiasoft
86,8508,Warlock's Tower (EU),Ratalaika Games
87,10598,Warlock's Tower (JP),eastasiasoft
88,5657,Warlocks vs. Shadows,Teyon
89,-3819,Warp Nexus,
90,8198,Warparty,Rogueside
91,10412,Warparty (Asia),Intragames
92,8199,Warparty (EU),Rogueside
93,10413,Warparty (JP),Intragames
94,5828,Warriors All-Stars,KOEI TECMO
95,5873,Warriors All-Stars (EU),KOEI TECMO
96,5328,Warriors All-Stars (HK/TW),KOEI TECMO
97,5323,Warriors All-Stars (JP),KOEI TECMO
98,5319,Warriors All-Stars (KR),Digital Touch
99,2629,Warriors Orochi 3 Ultimate,KOEI TECMO
100,1998,Warriors Orochi 3 Ultimate (Asia),KOEI TECMO
101,7598,Warriors Orochi 4,KOEI TECMO
102,10809,WARSAW,Crunching Koalas
103,8007,Wartile,Deck13 Interactive
104,12614,Warui Ousama to Rippa na Yuusha,Nippon Ichi Software
105,9071,Warzone,SinnStudio
106,9072,Warzone (EU),SinnStudio
107,3654,Wasteland 2: Director's Cut,inXile Entertainment
108,3655,Wasteland 2: Director's Cut (EU),inXile Entertainment
109,4760,Wasteland 2: Director's Cut (JP),Spike Chunsoft
110,5124,Wasteland 2: Director's Cut (KR),H2 Interactive
111,10712,Wasteland 3,Deep Silver
112,11015,Watch Dogs: Legion (PS4),Ubisoft
113,2458,Watch_Dogs,Ubisoft
114,4820,Watch_Dogs 2,Ubisoft
115,10646,Water Balloon Mania,Sprakelsoft
116,9333,Wattam,"Annapurna Interactive, iam8bit"
117,9334,Wattam (EU),Annapurna Interactive
118,-4236,Wave Break,
119,11598,Waves Out!,Gammera Nest
120,5438,Way of Redemption,Pixel Cream
121,6652,Way of the Passive Fist,Household Games
122,4627,Wayward Sky,Uber Entertainment
123,4690,Wayward Sky (EU),Uber Entertainment
124,-5144,Wayward Strand (PS4),
125,3192,WE ARE DOOMED,Vertex Pop
126,-4625,We are Legion: Rome,
127,5305,We Are The Dwarves,Whale Rock Games
128,5354,We Are The Dwarves (EU),Whale Rock Games
129,7369,We Happy Few,Gearbox Publishing
130,10488,We should talk.,Whitethorn Digital
131,4874,We Sing,THQ Nordic
132,6175,We Sing Pop,THQ Nordic
133,11366,We Were Here,Total Mayhem Games
134,11365,We Were Here Together,Total Mayhem Games
135,11367,We Were Here Too,Total Mayhem Games
136,8630,We. The Revolution,Klabater
137,8631,We. The Revolution (EU),Klabater
138,13302,WeakWood Throne,Drageus Games
139,13237,Weapon of Choice DX,Mommy's Best Games
140,13239,Weapon of Choice DX (EU),Mommy's Best Games
141,4101,Weapons of Mythology: New Age,Lions Film
142,4757,Weeping Doll,Oasis Games
143,-5140,Weird West,
144,6969,Welcome to Hanwell,Steel Arts Software
145,6968,Welcome to Hanwell (EU),Steel Arts Software
146,7679,Wer weiss denn sowas?,bitComposer Games
147,9086,Wer weiss denn sowas? - Das 2. Spiel,bitComposer Games
148,11531,Werewolf: The Apocalypse - Earthblood (PS4),"Nacon, Oizumi Amuzio"
149,11791,Werewolf: The Apocalypse - Heart of the Forest,Walkabout Games
150,11954,Werewolf: The Apocalypse - Heart of the Forest (EU),Walkabout Games
151,4920,Werewolves Within,Ubisoft
152,10198,West of Dead,Raw Fury
153,10197,West of Dead (EU),Raw Fury
154,-5437,What Lies in the Multiverse,
155,5399,What Remains of Edith Finch,"Annapurna Interactive, iam8bit"
156,5401,What Remains of Edith Finch (EU),Annapurna Interactive
157,11891,What The Dub?!,Wide Right Interactive
158,-5149,What The Duck,
159,6246,Wheel of Fortune,Ubisoft
160,4635,Wheels of Aurelia,MixedBag Games
161,4634,Wheels of Aurelia (EU),MixedBag Games
162,11397,When the Past Was Around,Chorus Worldwide Games
163,6457,Where Are My Friends?,Sometimes You
164,6458,Where Are My Friends? (EU),Sometimes You
165,8303,Where the Bees Make Honey,Whitethorn Digital
166,12668,Where the Heart Leads,"Armature Studio, Perp Games"
167,12669,Where the Heart Leads (EU),"Armature Studio, Perp Games"
168,9423,Where the Water Tastes Like Wine,Serenity Forge
169,9424,Where the Water Tastes Like Wine (EU),Serenity Forge
170,10429,while True: learn(),Nival International
171,8915,Whipseey and the Lost Atlas,Blowfish Studios
172,13100,Whiskey Mafia: Frank's Story,ChiliDog Interactive
173,13099,Whiskey Mafia: Frank's Story (EU),ChiliDog Interactive
174,3348,Whispering Willows,LOOT Interactive
175,5830,White Day: A Labyrinth Named School,PQube
176,5803,White Day: A Labyrinth Named School (EU),PQube
177,5804,White Day: A Labyrinth Named School (HK/TW),Justdan International
178,5829,White Day: A Labyrinth Named School (JP),Arc System Works
179,5832,White Day: A Labyrinth Named School (KR),Sonnori
180,3086,White Night,Activision
181,6134,White Noise 2,Milkstone Studios
182,10241,Whiteboyz Wit Attitude: The Pursuit of Money,MichaelArts
183,10242,Whiteboyz Wit Attitude: The Pursuit of Money (EU),MichaelArts
184,10977,Who Wants to be a Millionaire?,Microids
185,4808,Wick,Hellbent Games
186,-5474,Wife Quest (PS4),
187,4227,Wild Arms 3,Sony Interactive Entertainment
188,4938,Wild Guns Reloaded,Natsume
189,-3199,Wild Mage - Phantom Twilight,
190,6501,Wild Turkey Hunter,PSR Outdoors
